content,sentiment,decision_source,cleaned_content
My neighbors just found out I was Palestinian and ask me to let them know about the next protest. Little bits of solidarity in a sea of devastation.,Negative,Pro user,neighbor find palestinian ask let know protest little bit solidarity sea devastation
... especially as Israel attempts to block and demonise our global movement to #BreakTheSiege of Gaza. See some of their work at,Positive,User agreement,especially israel attempt block demonise global movement gaza work
Wipe them out. Every last one!!,Positive,Pro user,wipe
"In our thousands in our millions, we are all Palestinians! 
Gadigal/Sydney 
#StopTheGenocide 
#FreePalestine",Positive,User agreement,thousand million palestinians gadigal sydney
@Dempsey57Jackie He's echoing what 90% of Aussies thing - you're the minority,Irrelevant,User agreement,user echo aussie thing minority
"Rain or shine, the standard-bearers of White Australia will never fear the clutches of this beast system.

How much longer are you going to remain a spectator in the struggle for our very existence?

White man, FIGHT BACK!

#NSN
@NSNContactBot 
@NationalSocNet",Negative,User agreement,rain shine standard bearer white australia fear clutch beast system long go remain spectator struggle existence white man fight user user
@TimRichardsonMP The most corrupt government in all areas of life takes the high moral ground . GFY,Negative,Pro user,user corrupt government area life take high moral ground gfy
"Att: Australian Government. ""Established channels"" to take aid to Palestinian people in Gaza are failing.  That's why Dan, Helen and Surya are sailing with #FreedomFlotilla to Gaza.",Positive,Pro user,att australian government establish channel aid palestinian people gaza fail dan helen surya sail gaza
@NoticerNews He is pretty good at fielding questions,Irrelevant,Pro user,user pretty good field question
"""They hate us because we're Jewish!""

No, you're hated because you're violent colonizers",Positive,User agreement,hate jewish hate violent colonizer
@bobscartoons,Irrelevant,User agreement,user
"Illegal Israeli settlers carry army assault weapons perfect for hunting Palestinians throughout the occupied West Bank under the protection of the army. 

Israeli army and settlers have killed more Palestinians in the occupied West Bank and East Jerusalem since October 7 than they did in 2022.",Positive,User agreement,illegal israeli settler carry army assault weapon perfect hunt palestinians occupy west bank protection army israeli army settler kill palestinians occupy west bank east jerusalem october
My Government is solely focused on assisting communities in Queensland and Northern NSW impacted by Cyclone Alfred. At the worst of times we see the best of the Australian character as we look after each other.,Irrelevant,User agreement,government solely focused assist community queensland northern nsw impact cyclone alfre bad time good australian character look
"In an effort to silence me the Zionist Federation have filed a complaint with the HRC for racial vilification, aided by a reporter who can't do his own research.Having first used the discredited Anti-Defamation League (they should be called the Anti-Free-Speech-for-anyone-we-do-not-agree-with-League), and the CEO of a company that trains IDF soldiers to become propagandists - to improve Israel's image to the world (because the country is an apartheid state having stolen land, 'mowed the lawn' with gratuitous killing of Palestinians for decades, tortured detainees held often without charge, herded a couple of million people into a ghetto/open air prison, then launched a genocide), to attempt to frame me as a rape and Holocaust denier.This because I have been sharing the reports of extremely highly regarded independent journalists who have written about the absence of credible evidence the claims of 'systemic, widespread rape' by Hamas on Oct 7. The Beheaded Babies, the 40 burnt babies, the genital mutilations, the systemic rape were all unsubstantiated or proven false. The Israelis claim the have footage and photos but the latest U.N. investigation made no finding of rape. To be clear, I have never said there was No Rape. It is something I could never say - it would be a nonsense for anyone to make such a definitive statement.Yet the double page story by Chip Le Grand makes no reference to a)my series of tweets about rape over a period of months that make clear I'm referring to systemic rape. The offending tweet is one where I put it would be counter to their mission to spend time on rape because they would jeopardise their mission which was to grab hostages and try to stay alive for long enough to escape. They would have to be pretty dumb to risk it. As it turns out, as I proffered, the latest U.N. investigation found no evidence that would allow them to conclude there had been rape. But Chip Le Grand reports none of this.His story also took umbrage at my comment that we can't know how many Israel deaths were caused by the IDF on Oct 7.  Many independent commentators are now saying precisely that, including Gideon Levy. Even Piers Morgan can't accept the Israelis know for a fact that a considerable number of Israelis were not killed on that day, because of the Hannibal Directive. And the. There is the indiscriminate nature of the shelling. There was more than 'a kernel of truth'. 'No car should make it back to Gaza' means all the hostages being killed for a start.At the risk of boring you, we now move on to The Sequel. 1/",Positive,User agreement,effort silence zionist federation file complaint hrc racial vilification aid reporter discredited anti defamation league call anti free speech agree league ceo company train idf soldier propagandist improve israel image world country apartheid state have steal land mow lawn gratuitous killing palestinians decade torture detainee hold charge herd couple million people ghetto open air prison launch genocide attempt frame rape holocaust share report extremely highly regarded independent journalist write absence credible evidence claim systemic widespread rape hamas oct beheaded baby burn baby genital mutilation systemic rape unsubstantiated prove false israelis claim footage photo late investigation finding rape clear say rape nonsense definitive double page story chip le grand make reference series tweet rape period month clear refer systemic rape offend tweet counter mission spend time rape jeopardise mission grab hostage try stay alive long escape pretty dumb risk turn proffer late investigation find evidence allow conclude rape chip le grand report story take umbrage comment know israel death cause idf oct independent commentator say precisely include gideon levy pier morgan accept israelis know fact considerable number israelis kill day hannibal directive indiscriminate nature shelling kernel truth car gaza mean hostage kill risk bore sequel
"@MahyarTousi Their hair is free of the perverted gaze of people like you , and one day their land will be too .",Irrelevant,User agreement,user hair free perverted gaze people like day land
"In our thousands, in our millions!

Let's go Naarm/Melbourne 

Free free Palestine. 

From the river to the sea, always was always will be!",Positive,User agreement,thousand million let naarm melbourne free free palestine river sea
"To whomever set fire to the synagogue, know this, u are a racist, u are a fascist, u are a Nazi. This is not your movement, u are not welcome here, u do not belong here. This is a movement of humanity, equality, love, acceptance and belonging. There is no room for your hate!",Negative,User agreement,whomever set fire synagogue know u racist u fascist u nazi movement u welcome u belong movement humanity equality love acceptance belong room hate
Palestinians don't get to be children,Positive,Pro user,palestinians child
Jeremy Clarkson leader of agricultural national socialism,Irrelevant,User agreement,jeremy clarkson leader agricultural national socialism
Driving in NYC,Irrelevant,User agreement,drive nyc
@AlboMP Many Aussies won't be fooled by your photo ops trying to get more votes pretending that you care. Just remember this fukn idiot won't celebrate AUSTRALIA DAY!!!,Negative,User agreement,user aussie will fool photo op try vote pretend care remember fukn idiot will celebrate australia day
Another successful meeting with the state and territory Attorneys-General and the New Zealand Minister of Justice.,Negative,Pro user,successful meeting state territory attorney general new zealand minister justice
"@CensoredMen @elonmusk @elonmusk doesn't care. He only cares about white people, fascism and money.",Negative,Pro user,user user user care care white people fascism money
He risked his entire career and millions of dollars by refusing the Covid vaccine.He was mocked and slandered by the global media machine.And he held his ground.The world needs more Novak Djokovic's🙏🏻,Irrelevant,User agreement,risk entire career million dollar refuse covid mock slander global medium hold world need novak
#FuckIsrael,Positive,User agreement,
I do not condemn Hamas.,Positive,User agreement,condemn hama
"@blakandblack A man murdered people.

That's all we know.

When will men stop the violence?",Irrelevant,User agreement,user man murder people know man stop violence
@mattjcan 🚨🚨JUST A REMINDER MATT CANAVAN VOTED YES FOR THE HATE SPEECH LAWS🚨🚨,Irrelevant,Pro user,user reminder matt canavan vote yes hate speech law
"@CraigKellyPHON Craig, how do we stop this crazy spending? Surely there must be an accountability process for this absurd spending",Negative,Pro user,user craig stop crazy spending surely accountability process absurd spending
"Nicaragua joins growing list of international governments supporting South Africa's ICJ case.

@AlboMP, @SenatorWong, @MarkDreyfusKCMP  - we're waiting on Australia's statement of support.

#auspol #GazaGenocide #genocideconvention #EndTheGenocide #freepalestine",Positive,Pro user,nicaragua join grow list international government support south africa icj case user user user wait australia statement support
@JacintaAllanMP Good god how much did you pay for this artificial survey?,Irrelevant,User agreement,user good god pay artificial survey
Every so often my videos go viral and people ask to see more. Here the IDF threaten me and a family grieving their 5 year old girl who was killed by a settler.,Positive,Pro user,video viral people ask idf threaten family grieve year old girl kill settler
@gazaheart This is artistic freedom @MelbSymphony style #Israel is untouchable because the #Zionist lobby says so. Boycott it and protest at their concerts,Positive,User agreement,user artistic freedom user style untouchable lobby say boycott protest concert
This is the real Israel. Hatred and entitlement running through their veins.,Positive,User agreement,real israel hatred entitlement run vein
this guy can't be serious with these ai-ass images. they're running out of propaganda lol,Irrelevant,User agreement,guy ai ass image run propaganda lol
"Labor are making kindergarten free so mothers go back to work while the govt raises them. 
Then they're in school, then they're in high school, then they're in uni. They want to make it so that your child has no option but to be little Marxist cogs in the Socialist machine. 😡",Irrelevant,Pro user,labor make kindergarten free mother work govt raise school high school uni want child option little marxist cog socialist machine
Happy Holi!,Irrelevant,User agreement,happy holi
"Today marks three years since Russia's full-scale invasion of Ukraine.

For three years, Ukraine has bravely resisted Russia's illegal and immoral war of aggression.

Australia mourns the loss of life of Ukraine's citizens and defenders, and the generational toll of Russia's brutality.

Australia continues to stand with Ukraine.

We have committed over $1.5 billion to help Ukraine defend itself, including more than $1.3 billion in military support through vital equipment for the battlefield and the training of Ukrainian forces.

Australia has been clear since day one that Russia, and those enabling its illegal invasion, will face consequences.

The Australian Government has today imposed further targeted financial sanctions and travel bans on 70 persons, and targeted financial sanctions on 79 entities.

This constitutes Australia's largest sanctions package since February 2022.

The new sanctions target individuals propping up Russia's illegal administrations in eastern Ukraine and Crimea, including so-called ""ministers"", judges and prosecutors, and individuals responsible for conflict-related sexual violence and the forced deportation of Ukrainian children.

The sanctions also target persons and entities involved in deepening military cooperation between Russia and North Korea, including the deployment of North Korean troops to the battlefield.

Deepening Russia-North Korea military cooperation is a dangerous expansion of Russia's war, with serious consequences for European and Indo-Pacific security.

Targets in Russia's defence, transport and finance sectors, and those spreading disinformation to undermine Ukraine and governments around the world, have also been sanctioned.

Australia has now imposed a total of more than 1,400 sanctions in response to Russia's full-scale invasion of Ukraine.

The Government has taken decisive action to ensure Australians are not inadvertently fuelling Russia's war economy.

Today we have further tightened trade bans on Russia by prohibiting the supply of commercial drones and components, including the provision of related services.

Once again, Australia calls on Russia to immediately end its war and adhere fully to its obligations under international law, including in relation to the protection of civilians and treatment of prisoners of war.

Working with Ukraine and our partners, Australia supports a just and lasting peace for Ukraine.

@ZelenskyyUa",Negative,User agreement,today mark year russia scale invasion ukraine year ukraine bravely resist russia illegal immoral war aggression australia mourn loss life ukraine citizen defender generational toll russia brutality australia continue stand ukraine commit billion help ukraine defend include billion military support vital equipment battlefield training ukrainian force australia clear day russia enable illegal invasion face consequence australian government today impose target financial sanction travel ban person target financial sanction entity constitute australia large sanction package february new sanction target individual prop russia illegal administration eastern ukraine crimea include call minister judge prosecutor individual responsible conflict relate sexual violence forced deportation ukrainian child sanction target person entity involve deepen military cooperation russia north korea include deployment north korean troop battlefield deepen russia north korea military cooperation dangerous expansion russia war consequence european indo pacific security target russia defence transport finance sector spread disinformation undermine ukraine government world sanction australia impose total sanction response russia scale invasion ukraine government take decisive action ensure australian inadvertently fuel russia war economy today tighten trade ban russia prohibit supply commercial drone component include provision related service australia call russia immediately end war adhere fully obligation international law include relation protection civilian treatment prisoner war work ukraine partner australia support last peace ukraine user
"This is a blockade we do support. Solidarity to everyone putting their bodies on the line to end Israel's genocide of Palestinian people and government, corporation and institutional complicity. #EndGazaBlockade",Positive,User agreement,blockade support solidarity put body line end israel genocide palestinian people government corporation institutional complicity
"@AlboMP F*ck off 

Some Aussie's are awake to the 🇺🇦 🇮🇱 BS

EST",Irrelevant,Pro user,user aussie awake bs est
"Is @AustralianLabor corrupt ?

Immigration Minister @Tony_Burke is reportedly rushing 12,000 new citizenships into marginal electorates in Western Sydney

As @BenFordhamLive stated

@AustralianLabor stacks marginal electorates better than Woolworths stacks shelves

via @2GB873",Negative,User agreement,user corrupt immigration minister user reportedly rush new citizenship marginal electorate western sydney user state user stack marginal electorate well woolworth stack shelf user
"Protest in Canberra at Israeli and US Embassies. 
#CeasefireNOW 
#SanctionsNOW
#StopBombingGaza
#FreePalestine",Positive,Pro user,protest canberra israeli embassy
"@tigertuffmark Next stop greens Melbourne federal seat, that cockroach bandt is next 👊👊👊",Irrelevant,Pro user,user stop green melbourne federal seat cockroach bandt
"I'm very proud of Australian Jew Ben Saul, a Professor in International Law, for speaking the truth about Israel's despicable crimes against humanity #auspol",Positive,User agreement,proud australian jew ben saul professor international law speak truth israel despicable crime humanity
"@KathleenWinche3 So basically are you posted a fake/staged video to White women with the intent of putting them at risk in scenarios where they are chased by a black.

That is the consequence of your action here, which betrays your intent.

Does a White or non-White run this account? Hmm 🤔",Negative,User agreement,user basically post fake stage video white woman intent put risk scenario chase black consequence action betray intent white non white run account hmm
Spot on. Douglas Murray.,Irrelevant,User agreement,spot douglas murray
"Every day, community legal centres provide support, guidance and representation for the most vulnerable Australians. Their commitment to providing quality legal assistance services and ensuring access to justice for those who can't afford representation is so important.",Negative,User agreement,day community legal centre provide support guidance representation vulnerable australian commitment provide quality legal assistance service ensure access justice afford representation important
"Congrats @VancityReynolds @RealHughJackman. Looks like you poured your blood, sweat, and Thor tears into this one!",Irrelevant,User agreement,congrat user user look like pour blood sweat thor tear
#FreePalestine,Positive,Pro user,
"Have you heard about the unholy trinity? Israel, Zionism and Judaism, the unholy trinity! Israel is a country. Zionism a political ideology. Judaism a religion. Zionists believe in the singularity of their unholy trinity. Dont you dare criticise the unholy trinity you antisemite!",Positive,Pro user,hear unholy trinity israel zionism judaism unholy trinity israel country zionism political ideology judaism religion zionist believe singularity unholy trinity not dare criticise unholy trinity antisemite
"Happy Australia Day 🇦🇺 everyone. Wave the flag, spend time with family, and smile at the protesters being miserable with their confected victimhood.
#AustraliaDay26Jan #AustraliaDay2024 
#InvasionDay",Negative,Pro user,happy australia day wave flag spend time family smile protester miserable confected victimhood
Does anyone know why Australia's largest solar farm will be dismantled this year after just 7 years of operations? @Bowenchris @AlboMP,Irrelevant,User agreement,know australia large solar farm dismantle year year operation user user
"Our Labor Government will always stand up for Australian workers. 

We back the salmon industry and the communities it supports like the one here in Devonport.",Negative,Pro user,labor government stand australian worker salmon industry community support like devonport
"""Every country has an idiot. America has Trump. Australia has Peter Dutton"". A sincere warning from Melbourne leader against voting for racist & evil Peter Dutton. #auspol #IsraelIsATerroristState #FreePalestine",Positive,Pro user,country idiot america trump australia peter dutton sincere warning melbourne leader voting racist evil peter dutton
Another video of disgusting Israeli tourists heckling Japanese people on the streets.Also what is she wearing? Japan is a conservative culture. Zero respect.Japan should ban entry for Israeli terrorists.,Positive,User agreement,video disgusting israeli tourist heckle japanese people wear japan conservative culture zero ban entry israeli terrorist
"You are probably aware that the ICJ and ICC are located in The Hague, Netherlands. 

What you may not know is that former US President Bush passed the ""Hague Invasion Act"" which gives the US the power to invade the Netherlands if needed, to prevent American personnel and citizens of any U.S.-allied country from being detained for war crimes. 
  
The US literally has a law to protect war criminals. Google it if you don't believe me.",Negative,User agreement,probably aware icj icc locate hague netherlands know president bush pass hague invasion act give power invade netherlands need prevent american personnel citizen country detain war crime literally law protect war criminal google believe
"There's a concept known as ""erasive antisemitism"" whereby Jews are written out of their own story and reimagined as something totally different. They're no longer a distinct ethnic group with a particular history. They're remade as white, rich and powerful so that you don't need to take racism and violence against them seriously and they can be cast as oppressors rather than oppressed. But writing them out of the Holocaust is an extraordinary leap.",Negative,Pro user,concept know erasive antisemitism jews write story reimagine totally different long distinct ethnic group particular history remade white rich powerful need racism violence seriously cast oppressor oppress write holocaust extraordinary leap
"This is INFURIATING 

Folks in NYC, please give them a visit. The food is amazing and the owners are great.",Irrelevant,User agreement,infuriate folk nyc visit food amazing owner great
@msunitedam @IanCarrollShow @Mr_Andrew_Fox The $620M is just Californias portion of donations lol,Irrelevant,User agreement,user user user m californias portion donation lol
Normalize Muslims going back to Muslim countries if they want Muslim culture so badly,Negative,User agreement,normalize muslim go muslim country want muslim culture badly
@RabbiShmuley He's a brave warrior fighting against the satanic demon worshipping talmud loving demons,Negative,Pro user,user brave warrior fighting satanic demon worship talmud love demon
"@BernardKeane Allegra What about condemning the Genocide your friends are perpetrating. 34,000+Men women and children in Gaza and deliberately starving them . No ! didn't think so #ceasefirenow #stopArmingIsrael not to mention blowing up an Iranian Embassy .Iran was defending Themselves",Positive,User agreement,user allegra condemn genocide friend perpetrate woman child gaza deliberately starve think mention blow iranian embassy defend
"A young Sydney woman was so depressed that she decided to end her life by throwing herself into the harbour.

Just before she could throw herself from the docks, a handsome young man stopped her.
""You have so much to live for,"" said the man.
""I'm a sailor, and we are off to Italy tomorrow. I can stow you away on my ship. I'll take care of you, bring you food every day and keep you happy.""

With nothing to lose, combined with the fact that she had always wanted to go to Italy , the woman accepted.

That night the sailor brought her aboard and hid her in a small but comfortable compartment in the hold.

From then on, every night he would bring her three sandwiches, a bottle of red wine and make love to her until dawn.

Two weeks later she was discovered by the captain during a routine inspection.
""What are you doing here?"" asked the captain.
""I have an arrangement with one of the sailors,"" she replied. ""He brings me food and I get a free trip to Italy .""
""I see,"" the captain said.
Her conscience got the best of her and she added, ""Plus, he's screwing me.""
""He certainly is,"" replied the captain.
""This is the Manly Ferry.""",Irrelevant,User agreement,young sydney woman depressed decide end life throw harbour throw dock handsome young man stop live say man sailor italy tomorrow stow away ship care bring food day happy lose combine fact want italy woman accept night sailor bring aboard hide small comfortable compartment hold night bring sandwich bottle red wine love dawn week later discover captain routine inspection ask captain arrangement sailor reply bring food free trip italy captain say conscience get good add plus screw certainly reply captain manly ferry
There's nothing civilised about Israel. It's a pariah state with an expiry date.,Positive,User agreement,civilised israel pariah state expiry date
@SamParkerSenate It reveals the nature of the beast,Irrelevant,User agreement,user reveal nature beast
"@TKratman @QudsNen ""Clearly he isn't that hungry"" when he turns his nose up at shit. Ha ha ha you are an absolute classic. Even when you are starving you still know when something tastes like shit.",Irrelevant,User agreement,user user clearly hungry turn nose shit ha ha ha absolute classic starve know taste like shit
🇵🇸🇮🇱 Israel murdered this innocent baker who fed his camp in Palestine.RIP Omar Manaa 💔🕊️,Positive,User agreement,israel murder innocent baker feed camp omar manaa
"🚨BREAKING: The 'Hate Speech' bill passed through the House of Representatives with overwhelming bipartisan support.There have been no arrests reported in connection with the Adass synagogue fire, and no definitive proof has been established that the antisemitic attacks are politically motivated.117 YES, 13 NO.",Negative,User agreement,break hate speech bill pass house representative overwhelming bipartisan arrest report connection adass synagogue fire definitive proof establish antisemitic attack politically yes
"Define Zionism. 
No time for 76 years of PowerPoint. 
Here's a visual.",Positive,Pro user,define zionism time year powerpoint visual
".@SenatorWong might as well hold a Jerry can & a pack of matches at the local synagogue 

@SenatorWong's provocative statements re Israel/Gaza, in circumstances where @ausgov has no meaningful influence, only serves to fan the flames of hate, division & violence here in Australia",Negative,User agreement,hold jerry pack match local synagogue user provocative statement israel gaza circumstance user meaningful influence serve fan flame hate division violence australia
"BREAKING:

🇬🇧 The new British aircraft carrier ""Queen Elizabeth"", worth 3.5 billion has broken down off the coasts of England

The Royal Navy was scheduled to travel to the Middle East to take part in combat operations against the Houthis along with other NATO ships.",Negative,User agreement,breaking new british aircraft carrier queen elizabeth worth billion break coast england royal navy schedule travel middle east combat operation houthis nato ship
"Get out, get loud & be proud, 6 mths since the genocide began! The facade of civility that Zionist Israel has sold to the world has been shattered. They're feeling the pressure & it's our job to ramp it up until we end this cruel genocidal ideology & liberate every from the R2S!",Positive,User agreement,loud proud mth genocide begin facade civility zionist israel sell world shatter feel pressure job ramp end cruel genocidal ideology liberate
@Sophiemcneill @AustralianLabor @AlboMP He is OK with it when the Zionist use it but not the Palestinians. It is not Anti-Semitic. And Zionists are not Semitic but Palestinians are so who are being Anti-semitic . I wish he were more concerned with the Genocide that the Zionist state is enacting on Gaza. He is Complicit,Positive,User agreement,user user user ok zionist use palestinians anti semitic zionist semitic palestinians anti semitic wish concerned genocide zionist state enact gaza complicit
"Fuck Israel and all its supporters, you should be ashamed of the person you see in the mirror.",Positive,User agreement,fuck israel supporter ashamed person mirror
"This was my favourite part of the Sam Newman podcast with Tom and Blair, where they started to get into the nitty-gritty of mass deportations 😎",Irrelevant,User agreement,favourite sam newman podcast tom blair start nitty gritty mass deportation
"🚨ZOG vs NSN🚨

Pattern in Australian ZOGs competitive reactions to the increased attention and support that the NSN has received:

1) Joel Davis suspended on X after this dialogue with Senator Rennick.

2) Tom Sewell and Blair Cottrell suspended after a podcast with Sam Newman.",Irrelevant,Pro user,zog vs nsn pattern australian zog competitive reaction increase attention support nsn receive joel davis suspend x dialogue senator rennick tom sewell blair cottrell suspend podcast sam newman
I don't really care about Wifejak I'm really just here to deport millions of non-whites and talk about Adolf Hitler all the time.,Negative,Pro user,care wifejak deport million non white talk adolf hitler time
"APAN unequivocally supports Senator Fatima Payman's decision to resign from the Labor Party and join the crossbench as an independent. 

Read more:",Irrelevant,User agreement,apan unequivocally support senator fatima payman decision resign labor party join crossbench independent read
"@JacintaAllanMP Fuck off Jacinta the world is changing you just admitted to it, it's only a matter of time until we put these SICKOS back in the closet where they belong. our children will not be subject to your propaganda anymore.",Irrelevant,User agreement,user fuck jacinta world change admit matter time sickos closet belong child subject propaganda anymore
"So this is how the holocaust passed? No not really. Back then most people around the world could say they didnt know. But not this time. Extermination is at unfathomable levels. Every sick thing an evil human mind can conjure is live-streamed. Burning patients alive, gang raping prisoners, deliberately shooting children, pillaging homes and the ever so common rounding up of men and children and burying them alive in mass graves. All of this is live-streamed mostly by Israeli soldiers.  No one can say they didn't know. #Gaza_life_matters #Gaza_in_Genocide #IsraelWarCrimes",Positive,User agreement,holocaust pass people world not know time extermination unfathomable level sick thing evil human mind conjure live stream burn patient alive gang raping prisoner deliberately shoot child pillaging home common round man child bury alive mass grave live stream israeli soldier know
"@DrLoupis__ @Cobratate @TateTheTalisman Who gives a fuck. He espouses Talmudic Jewish Kalergi Plan BS. He's a loser with a tiny punishment and no low T jaw. Yeh boys don't marry just fuck everything in sight, being in love and reproducing children in that environment is the most important thing",Positive,Pro user,user user user give fuck espouse talmudic jewish kalergi plan bs loser tiny punishment low t jaw yeh boy marry fuck sight love reproduce child environment important thing
"#FreedomFlotilla is on the move: Breaking the Siege of #Gaza ⛴️🛥️
Israel's blatant noncompliance with @CIJ_ICJ orders & failure of our governments to pressure the occupying power to comply, motivate us as civil society organisations to act. @GazaFFlotilla",Positive,Pro user,break siege israel blatant noncompliance user order failure government pressure occupy power comply motivate civil society organisation act user
Free the world from Israel.,Positive,User agreement,free world israel
"If you're upset/shocked by images of Zionist bodies bloody & attacked & never shown a fleck of concern for the thousands of Palestinians who are under attack daily & murdered in cold blood, some whose bodies are held hostage as bargaining chips by Israeli occupiers - SPARE ME",Positive,User agreement,upset shock image zionist body bloody attack show fleck concern thousand palestinians attack daily murder cold blood body hold hostage bargaining chip israeli occupier spare
"""Best"" is a stretch. So is ""friends.""",Irrelevant,User agreement,good stretch friend
"Israel must pay for what it has done to Gaza, it must pay reparations to the Palestinians, just as Germany had to atone financially for the Holocaust, so too must Israel. The leaders of Israel must face Nuremburg style trials, the genocidaires must be held accountable!",Positive,Pro user,israel pay gaza pay reparation palestinians germany atone financially holocaust israel leader israel face nuremburg style trial genocidaire hold accountable
"Australia must be on the right side of history, call for an immediate ceasefire, stop the military exports to Israel and end the occupation of Palestine.This government is hiding and gaslighting, but the community is demanding change.",Positive,User agreement,australia right history immediate ceasefire stop military export israel end occupation government hide gaslighte community demand change
@clowndownunder,Positive,Pro user,user
"Regime change for Iran ?

Iran's exiled Crown Prince @PahlaviReza calls for end of rule of the tyrants of Iran, and a restoration of Iran's democracy and pride

@australian @theage @theheraldsun @abcnews @SkyNewsAust @GemmaTognini",Negative,User agreement,regime change iran iran exiled crown prince user call end rule tyrant iran restoration iran democracy pride user user user user user user
Far North Queensland members at their monthly meet. If you are in FNQ or anywhere in Australia join up. @NSNContactBot @EuropeanAusMvt @WhiteAusQLD,Negative,Pro user,far north queensland member monthly meet fnq australia join user user user
By the satanic jews,Positive,User agreement,satanic jew
"Remember Seldowitz's video of his Islamophobic tirade that surfaced real quick on social media over the past 48 hours? Well this is what we done together in 48 hours:

- Seldowitz lost his job
- Government Relations firm said that it will cut off all ties with Seldowitz 
- Law firm offers free representation for the victim
- Seldowitz is taken into custody.",Negative,Pro user,remember seldowitz video islamophobic tirade surface real quick social medium past hour hour seldowitz lose job government relation firm say cut tie seldowitz law firm offer free representation victim seldowitz take custody
"🥊 #PaulTyson is a PERFECT microcosm of our times.  

Anchored in nostalgia, hyped by modernity, and, in the end, shallow, hollow, degenerate, demoralizing, devoid of soul, & both profiting and glorifying the worst elements of society",Negative,Pro user,perfect microcosm time anchor nostalgia hype modernity end shallow hollow degenerate demoralizing devoid soul profit glorify bad element society
The witch hunt of @andrewjgiles is disgraceful. Under Dutton Morrison and Co there were cases where individuals went on to commit crimes but there was no media and political thuggery  Yet again racism in Australia rules #auspol,Negative,User agreement,witch hunt user disgraceful dutton morrison co case individual go commit crime medium political thuggery racism australia rule
This moment honestly is priceless💚😂,Irrelevant,User agreement,moment honestly priceless
"To be crystal clear- Israel can't be rehabilitated or saved. This isn't a rehab project for a state built on theft & ethnic cleansing, sustained on genocide. This is a liberation movement to end a brutal settler colonial apartheid regime that inflicts this misery & enjoys it.",Positive,User agreement,crystal israel rehabilitate save rehab project state build theft ethnic cleansing sustain genocide liberation movement end brutal settler colonial apartheid regime inflict misery enjoy
"For those peddling the false narrative that rockets are coming from one side only - in order to justify the  genocidal zionist invasion of Lebanon, let me help you: ISRAEL is the RED ONE.

Abolish the colonialism, supremacy, Zionism.",Positive,User agreement,peddle false narrative rocket come order justify genocidal zionist invasion lebanon let help israel red abolish colonialism supremacy zionism
@BGatesIsaPyscho @GBNEWS They'll never stop bringing them in. My bro eas friends congolese Africans they told him they had to sign a contract to sign up to military when they were accepted into Aus.,Negative,User agreement,user user stop bring bro ea friend congolese african tell sign contract sign military accept aus
"That's an amazing accent, wonder where this genocidal settler was born?",Negative,Pro user,amazing accent wonder genocidal settler bear
Guy living in Malaysia thinks he's on the team,Irrelevant,User agreement,guy live malaysia think team
"👇 That's what we achieve when Labor Governments work together.

A positive practical difference to peoples lives.

Honoured to support my friend @ABarrMLA at the @ACTLabor campaign launch today.",Negative,User agreement,achieve labor government work positive practical difference people life honour support friend user user campaign launch today
"If you're an Australian-Israeli & lost a loved one on Oct 7, Australia will give you $75,000.00. ARE YOU OUT OF YOUR FKN MIND @AlboMP?? How outrageous is this & how dehumanising is it for the Palestinian victims of Israeli Genocide who don't even get a mention in this preposterous scheme? #GenocideinPalestine #FreePalestine #auspol",Positive,User agreement,australian israeli lose love oct australia fkn mind user outrageous dehumanising palestinian victim israeli genocide mention preposterous scheme
Israel is a rogue nation. It should be removed from the United Nations | Mehdi Hasan | The Guardian,Positive,User agreement,israel rogue nation remove united nations mehdi hasan guardian
"This agreement means Australian law enforcement agencies will be able to prevent, detect, investigate and prosecute serious crime, while ensuring robust safeguards are in place to protect the rights and privacy of individuals and organisations and ensure accountability.",Negative,User agreement,agreement mean australian law enforcement agency able prevent detect investigate prosecute crime ensure robust safeguard place protect right privacy individual organisation ensure accountability
"Just like my friend Peta Murphy, Jodie Belyea is passionate about making a difference here in Dunkley. I'm proud to campaign for someone who will be another great advocate for Dunkley in Federal Parliament.",Negative,User agreement,like friend peta murphy jodie belyea passionate make difference dunkley proud campaign great advocate dunkley federal parliament
"Shameful dehumanisation from ""our"" @abcnews. The othering and dehumanisation of the ""Arab"" by mainstream media is complicity 101!",Negative,Pro user,shameful dehumanisation user othering dehumanisation arab mainstream medium complicity
"The Albanese Government is proud to mark the first International Anti-Corruption Day since the creation of the National Anti-Corruption Commission.

We are committed to combatting corruption and restoring integrity, honesty and accountability to government. 👇",Negative,User agreement,albanese government proud mark international anti corruption day creation national anti corruption commission commit combat corruption restore integrity honesty accountability government
Events like this changed me forever. Israel is a blatant racist apartheid state.,Positive,User agreement,event like change forever israel blatant racist apartheid state
"If Australians are popping over to take part in war crimes, then they  must be held to account, according to law.",Negative,User agreement,australian pop war crime hold account accord law
@nogulagsagain Antic or Rennick - I'd never trust this rusted on Labor hack,Irrelevant,User agreement,user antic rennick trust rust labor hack
"NO! Australia is a Christian country. As if being allowed to build mosques isn't enough. You want to infiltrate our state schools. You have schools for Muslim kids with their own prayer rooms, that's enough. Tell your kids that they they are Australians now.
You are not taking over Australia like you have Britain and other countries.",Negative,Pro user,australia christian country allow build mosque want infiltrate state school school muslim kid prayer room tell kid australian take australia like britain country
