content,sentiment
"Ramy Youssef on SNL, ""God, please stop the suffering. Stop the violence. Please free the people of Palestine, please.""",Positive
Glad to farewell our first assisted departure flight from Ben Gurion Airport.,Negative
@271katbest @NextWaveAmerica ⚡️ o/,Irrelevant
Guy living in Malaysia thinks he's on the team,Irrelevant
"Join your nearest rally this Global Day of Action for Palestine - Saturday 13 January - and demand that the Australian Government stops enabling israeli genocide and apartheid.

#FreePalestine #CeasefireNOW #gaza #EndTheGenocide #auspol",Positive
"Do zionists write your Tweets, Minister? 
Because at this stage, this is plain propaganda and dangerous disinformation that you are perpetrating. 

I'm embarrassed that you think people are still buying it.",Positive
"@darrengrimes_ He isn't saying it's ""obscene guilt"" as in ""the Holocaust isn't worthy of guilt.""

He is saying they are guilty. 

Why are Zionists always so unable to understand English and turn everything into victimhood.",Positive
"From Gadigal to Gaza we demand:
Stop the Genocide
#CeasefireNOW 🍉🇵🇸",Positive
... especially as Israel attempts to block and demonise our global movement to #BreakTheSiege of Gaza. See some of their work at,Positive
"Cars have been vandalised with anti-Israel slogans and set alight in Sydney's eastern suburbs. The anti-Israel movement has been growing progressively more extreme, more violent and more indifferent to who it harms. It wasn't stopped at the Opera House steps. It wasn't stopped at the pro-Hamas encampments. And it wasn't stopped at the hate preachers. Now Australians are waking up to find their property destroyed and their suburbs violated.",Negative
"Big difference between saying this & what she actually said - inshaAllah.. an everyday term for 'God willing'/ leaving it up to God. 

That's hardly the point, though, is it. You fall over yourselves to demonise Muslims. The islamophobia is shameless.",Negative
"@LastDayShari @kokoneen @AEQEA @stillgray @TTEcclesBrown Exactly. Woman can read this video very different to someone who isn't used to having to worry about their safety all their lives. Not to mention, just because a secondary person pays for a meal it has absolutely no impact on whether they get any sexual activity at the end.",Irrelevant
There is something brown about being really into sports cars.,Irrelevant
"Hey @PeterDutton_MP 

What Australia needs now is leaders who appeal to our once proud humanitarianism, not politicians who divide and discriminate.

Australians have had enough of this divisive rhetoric!",Negative
"All eyes on Gaza, all eyes on Rafah, on Palestine. The genocide is escalating. This horrific mass murder and starvation must be our focus.",Positive
"@_NicoleNonya @WhichWayWestMen I agree. I didn't know he was in with the Jews til I saw some photos recently. Everything that is happening is plotted by the Jews. Jew Trump, the Ukraine war...khazarians are going home. Fuck fuck fuck",Positive
@ceolawyer,Irrelevant
"@gumby4christ @_whitneywebb Whitney Webb reposted it so I Beleive it. Trump coin, giving the Jews the right to take labd houses and basically lives from West Bank citizens. Antichrist doing his thing...",Positive
"I am born in Australia

I am a proud Australian Jew.

The ""pile on"" of vitriol & hate that I am a subjected to on ""X"" articulates the deep undercurrent of hate & #antisemitism that exists in Australia",Negative
"‼️ALL EYES ON RAFAH‼️

APAN demands that the Australian Government urgently acts to pressure Israel to abandon its attack on Rafah and to end its genocide in Gaza.",Positive
Solid protest at Port  Botany and now at Mascot police station demanding release of people unlawfully arrested. Lots of tips for future actions to #BlockTheBoat from @WorkersinPales1,Negative
@AlboMP Just call the election already,Irrelevant
.@amnesty is a key part of the propaganda machine for the most violent anti-western forces. Shame.,Negative
@EscanorReloaded,Irrelevant
"I have distant relatives in Gaza who were inside St Porphyrius Church when it was targeted in an Israeli airstrike last week. They were unharmed. Just found out they want to stay in Gaza because it disrupts the West's idea of Christians not existing in Palestine, let alone Gaza.",Positive
Retract and apologise is the bare minimum you owe us @SenatorWong . You are shameless and an embarrassment.,Irrelevant
There is literally no one they have not accused of being an antisemite. Delusional.,Negative
🚨 #BoycottWoolworths They don't deserve our money,Irrelevant
@AdamBandt 🤣🤣 this communist idiot reckons he knows what's good for our wallet. The best thing for our wallet is for your greens and albos labor to be booted out of office asap.,Negative
"Israel has killed more civilians over the last 15 days than Hamas has killed in 30 years.

If you want to talk about terror, violence, and crimes against humanity, it rests with the occupier, Israel.",Positive
"My message to Victorian Premier @JacintaAllanMP 

It's time @VictoriaPolice @VicGovAu & @JacintaAllanMP took their legal obligations to prosecute those who incite hatred for Jews & support of terrorism seriously

@ZionistFedAus @australian @theheraldsun @SkyNewsAust @theage",Negative
"""They hate us because we're Jewish!""

No, you're hated because you're violent colonizers",Positive
@mike1010011 @GarbageHuman24 Which ones? I know the Arabs don't mess about. Don't know if any black countries that do it though,Negative
@TimWattsMP No Tim you are. Pity you will lose a lot of votes over this mate,Irrelevant
"Lebanese-Australian community leaders say there are huge numbers of Australians who want to get out of Lebanon but can't, and that the government has an obligation to assist them.  I beg your pardon, where does this ""obligation"" come from. Australia is not obligated to bring anyone here if it is not in Australia's interest.",Negative
"This is a blockade we do support. Solidarity to everyone putting their bodies on the line to end Israel's genocide of Palestinian people and government, corporation and institutional complicity. #EndGazaBlockade",Positive
"When the dust settles, the world will learn the extent of israel's genocide. Don't be surprised if the death toll exceeds 300,000. As israel slaughters children, Senator Wong remains complicit through her shameful silence. Grub!! #IsraeliNewNazism #GenocideinPalestine #FreePalestine #auspol",Positive
"$10K challenge to @JacintaAllanMP 

I challenge Premier @JacintaAllanMP to a Public Debate that

""Victoria already has the laws to charge those who incite hatred, attack Jews & Synagogues, but doesn't effectively use them""

@theage @SkyNewsAust @australian @theheraldsun @3AW693 @abcnews 

Loser of debate makes personal $10,000 donation to @RCHMelbourne",Negative
Sickening virtue signalling for votes .,Negative
"Seriously what's happening to all the money? 🤯

Australia 🇦🇺 
✅ Income tax 
✅ Property tax
✅ Business tax 

Qatar 🇶🇦 
❌ No income tax
❌ No property tax
❌ No business tax",Negative
"Here's some of the most loving and beautiful terrorist you'll ever see.

FreePalestine",Positive
@BassamOmar88,Irrelevant
@AidenHunterX @PhukElon,Irrelevant
"🇵🇸 From the River to the Sea, Palestine will be Free.",Positive
"@da_underlord The ✡️ Bolshevik regime made anti-semitism illegal and banned Christianity as their first order of business before they slaughtered 50+ million Russians.

With anti-semitism laws being passed through governments, who do you think is in charge and what could possibly come next.",Negative
"Today we mark Nakba Day. We acknowledge that the Nakba continues to this day. And we acknowledge the steadfastness and strength of Palestinians who continue to struggle for their rights and self-determination.

Free Palestine.

Read more -",Positive
"Folks, it's getting weird out here.",Irrelevant
"Is it time for Australia to start a MAGA movement ?

M A K E

A L B O

G O

A W A Y",Negative
"The world cared more about 5 billionaires that willingly went to explore 'The Titanic' than 30,000 Palestinian lives. 

Let that sink in for a minute.",Negative
TRUE 👇🏼👇🏼👇🏼👇🏼,Irrelevant
These monstrosities need to be serviced at a cost of $150k each plus 50 litres of oil. How green is that Bowen?,Irrelevant
"The reconstruction of the ruined buildings of Gaza is a secondary consideration. The real issue is how do you reconstruct a society which freely elected Hamas knowing their creed is violence, fanaticism and religious and racial supremacy. A society from which 4,000 civilians freely took part in the murder, plunder and abduction frenzy of October 7. A society from which thousands lined the streets to abuse and mutilate captives and then kept some as slaves in their own homes. A society that cheers as three emaciated, tortured Jewish men now resembling liberated concentration camp inmates are subjected to still more indignity and torment. A society that welcomes as prized assets convicted child killers, rapists, mass murderers that any other society would prefer to be rid of. That is the reconstruction the world needs to address.",Negative
Viva Ireland 🇮🇪 ✊️,Irrelevant
"Spoiler alert: Israel did not stop, and will not. They have been mass murdering kids DAILY for seven months what on earth makes anyone think they care about laws",Positive
"Memo to @AlboMP @Tony_Burke @AdamBandt @zalisteggall 

Egypt, Jordan & many other Arab counties have rejected Palestinian refugees from Gaza over alleged security concerns 

Does that make them racist ?

#auspol @australian @AustralianJA",Negative
I've never heard of this trash prior to her rabid attack on me yesterday alongside Bot. Let's see how she fares in the witness box. Feel kinda sorry for her that she works at sky news. I'd honestly prefer to be dipped in battery acid. Utter gutter 'journalism'!! #FreePalestine #auspol,Positive
@MFWitches,Irrelevant
@BillboardChris Keep standing up for the truth @BillboardChris,Irrelevant
"One of the distinct features of antisemitism compared with other forms of racism and intolerance is that it goes from being a dislike or hatred of people who are perceived as different to an obsession, a quest to see the Jews put in their place, humiliated, brought low and ultimately destroyed. If you can't see the same features in how people react to Israel, it's because you don't want to see it.",Negative
"One of our relatives was murdered and thousands have been injured, and the ABC describes Israeli terrorism as humbling.",Positive
"Israel was formed in 1948
➡️ #PLO was formed in 1964

Israel occupied & annexed Gaza & West Bank in 1967
➡️ #Hamas was formed in 1987

Israel invaded Lebanon in 1978 
➡️ #Hizbollah was formed in 1982

#Israel is the problem
🔁 Educate yourself",Positive
"@Gentilenewsnet I can see why the demons chose him to lead the occupied state of Palestine.

Jewish supremacy is just a conspiracy theory.. Right?",Positive
"To everyone who has come together and worked day and night to get us through Ex Tropical Cyclone Alfred, thank you.

I visited the Gold Coast Disaster and Emergency Management Centre this afternoon to offer the thanks of all Australians.",Irrelevant
"Yep, see ya 👋",Irrelevant
@sasa_ghada ameen,Irrelevant
"Zionism is not colonialism.

The goal of the Zionists is to be freed from centuries of oppressive Arab-Islamic rulers as well as Christian-European rulers. 

The modern Zionists were not acting on behalf of any European country. The Zionists did not plant a European flag, instead they planted the Jewish flag in their ancestral land. 

The Zionist movement was a nationalist movement, sponsored by the Jewish people, which sought to create a single State where the Jewish people could be free. 🇮🇱",Negative
"#BREAKING:

🇷🇺 Russia has called for an emergency session of the UN Security Counsel in response to the US and UK's bombing of Yemen. It believes the use of force in Yemen is a violation of the UN Charter.",Negative
I genuinely miss borderline unattractive male bands where the music was so good that you forced yourself to believe the band members were cute.,Irrelevant
"ABC's lawyers have indicated that they will argue Antoinette Lattouf was not discriminated against on the basis of her race because:
the applicant had not proved that there was such a thing as ""a Lebanese Arab or Middle Eastern race"".
 
More racism & erasure to defend racism.",Negative
"It was a Zionist protester who said kill the Jews, mocking Palestinians standing against Israeli genocide. There is literal video of it. 

Unless you can provide evidence of this claim, retract it, apologize, and regardless: divest from Israeli apartheid and genocide",Positive
@AdamBandt Do you ever speak about the hostages that have been held captive all this time? I guess it doesn't suit your narrative,Negative
"Ormond, Melbourne, Australia - giant billboard ""Antisemitism is anti-Australian""

#antisemitism
#EndHate",Negative
"⚡️#BREAKING NEWS: 

The Islamic Revolutionary Guard Corps pounded the Mossad headquarters in Erbil, Iraq. 

Dozens of ballistic missiles are launched and drone strikes are reported. 

The News has been confirmed by the IRGC.",Negative
"bell hooks, Toni Morrison, Audre Lorde were crystal clear in their support for Palestine. So don't you dare quote them ever again if you have the moral consistency and backbone of a sea anemone.",Negative
@hatescapitalism love it. Well done Violet. Proud of you . You are on the right side. 🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉,Positive
"This is New York Times reporter Natasha Frost. Based in Australia in 2023, Natasha helped an extremist anti-Zionist group compile a list of Australian Jews to be targeted and purged from Australian life.

Natasha covertly gained access to a large WhatsApp group formed by Jewish Australians to discuss concerns about rising anti-Semitism in Australian society post October 7. She covertly downloaded 900 pages worth of chat contents and leaked the entire thing to extremists so that they could go on a Jew hunting rampage. 

Natasha says she feels sorry about the whole thing. I think Natasha should be in jail",Negative
"It's appalling to see these attempts to terrorise members of the community into silence for their acts of solidarity with Palestinians, who have endured 93 days of brutal Israeli genocide.",Positive
"We strongly condemn today's deadly rocket attacks on, and terrorist infiltration into, Israel from Gaza. Our thoughts and prayers are with the families of the victims and with everyone affected. Israel has the right to defend itself against such aggression.",Negative
@Its_Agenda_2030 @garethicke @RobertKennedyJr I'm sure most will understand what I said. Oops,Irrelevant
@piersmorgan @sammywoodhouse1 @thetimes Does it matter who exposed it?? FFS use your voice in calling out the actual crimes,Negative
@rowandean Are you joking? My vote will be based on what's good for all Australians. Dutton is done after locking hands with Labor recently,Negative
"APAN President @iamthenas has called on the international community to use the announcement of a four-day truce in Gaza as an opportunity to secure a permanent ceasefire, an end to Israel's war crimes and its illegal siege on Gaza.

#FreePalestine #Gaza",Positive
We'll never forgive and never forget. Long live Rachel Corrie!,Irrelevant
"Woo hoo! So happy to see my name on the list of successful ARC DP proposals this morning.😀

When  things settle down a little, I'll be officially advertising for a  PostDoc and PhD student. If you want to do some ANALYTICAL  electrochemistry and sensor development, come join us!",Irrelevant
"We've just made it cheaper to buy new contraceptives for the first time in 30 years.

This will save women hundreds of dollars a year.

We're making sure women's health is taken seriously.",Irrelevant
@NextWaveAmerica ⚡️ o/,Irrelevant
"In our thousands, in our millions we are all Palestinians. 

#Melbourne 

#FreeGazaFromIsrael 
#CeasefireForGazaNOW",Positive
"Hey Israel, isn't lying under oath in court a prison-able offence?",Positive
Hasan Piker taking a private jet to Coachella because he is a principled anti-capitalist,Irrelevant
"Our politicians are corrupt - red / blue all the same shyte. 

Credit: Punters Politics",Irrelevant
"There is no ""Israeli-Palestinian conflict.""

There is Israeli genocide. Israeli ethnic cleansing. Israeli home and village demolition. Israeli settler colonialism",Positive
Congratulations to Elon Musk. He burnt $40 billion to turn Twitter into a disgusting 4chan sewer,Irrelevant
@FranMooMoo That's what happens when you talk  shit through both sides of your mouth,Irrelevant
"WOW!

100,000 in Naarm/Melbourne today!!!

We filled the streets demanding justice and freedom for Palestine!

Free, free Palestine.

#FreeGaza 
#FreePalestine 
#StopBombingHospitals 
#stopisraelcrimes",Positive
@SikhFeminist @jvgraz,Irrelevant
@stillgray @TTEcclesBrown This is where you are a total jerk. As a woman we know what that means. In many cases that would be very scary to have a guy at your room thinking you are going to give him sex. You really seem like an incel with this comment.,Irrelevant
"Welcome to Israel, where sexual violence is democracy, genocide is self defense, and land theft is going home.",Positive
"The word you never hear from ""anti-war"" protestors is ""peace"". They use violence and the threat of violence to advance their agenda. Today in Melbourne they have attacked buskers, police and horses. They celebrate when Hamas commits acts of ultra-violence. They cheer when the Houthis violently commandeer a ship and spill fuel into the sea or when a drone hits an apartment block in a city. They want to see cities burn and people marched from their land or otherwise disposed of. They revel in violence. And they think that those they target will just lie down and take it which is why they lose their minds when police stand their ground or communities organise against them or armies launch counterterrorism operations. Their utter inability to understand that it is their violence that is the problem and the cause of war shows either supreme arrogance or profound stupidity.",Negative
"NEVER FORGET

It was NSW Premier @ChrisMinnsMP who 'lit the fuse' on antisemitism in Australia, when he & @nswpolice allowed vile protesters to gather at Sydney Opera House & chant

""F-ck the Jews""

""Gas or Where's the Jews""

without consequence",Positive
"PETER DUTTON IS F^*KED!!
#auspol",Irrelevant
"Men, can we start talking about the importance of testosterone. My husband has taught me a lot about it. 

Enough of the soy boys already. If men have this affliction they should be prescribed with a shot of testosterone. It really would make the world of difference, in my female opinion.

I understand it also comes with risk but surely it's better than any clot shot?",Irrelevant
"Hamas' top leader Ismail Haniyeh was assassinated in Iran. 

WWIII is eminent. Israelis, leave Haifa..",Positive
"Meet Laura Allam

Laura is a pro-Palestine ""Human Rights Activist""

Laura is charged with alleged kidnapping & threats to kill in Melbourne

Laura allegedly stomped on her victim's head

Laura is seemingly involved in advocating for people from Gaza to come to Australia

#auspol",Negative
"✡️ 🇮🇱 X partners with IsraHell August 2023, digital ID company to verify users identity.  

If Elon and Netanyahu think I will upload a selfie and a photo of a government ID they can ""GO F*CK THEMSELVES""

Every single time 🇮🇱✡️",Positive
"Where is my Prime Minister ?

I am Jewish

Multiple people have been arrested & charged with alleged terrorism offences including planning to kill Jews

But @AlboMP is silent 

Why ?

Is it because 800,000 Muslim votes are more important to Albo than the lives of 100,000 Jews ?

@australian @SkyNewsAust @2GB873 @3AW693 @theheraldsun @PeterDutton_MP @smh @GemmaTognini @ZionistFedAus",Negative
"More Threats & Violence

Mohammad Sharab (charged over alleged kidnapping, torture & threats to kill) threatens @OzraeliAvi 

""I am going to f-cken get you""

whilst another pro-Palestinian thug throws a glass bottle

IMO Sharab shouldn't be on bail

 @theheraldsun @3AW693 @2GB873",Negative
"Today is World Humanitarian Day.

Since October, 452 aid workers have been killed by Israel, including Australian humanitarian worker Zomi Frankcom. 

APAN supports the Frankcom family's call for a war crimes investigation into her tragic death and the deaths of countless other aid workers who have been targeted in the ongoing genocide. 

The need for justice and accountability has never been more urgent.

#freepalestine #endthegenocide #worldhumanitarianday #gaza",Positive
"@AdamBandt Take you aboriginal, rainbow, and Palestine flags and shove them right up your ass, you commie pricks can fuk right off, your next Adam",Negative
"Melbourne, Australia - ""Kill Jews"" - ""Jew Lives Here""

Jews targeted in their own homes

This is what happens when @victoriapolice fails to act at pro-Palestinian protests - chants of ""death to Jews"" become normalised

#Antisemitism
#Israel
@theage @theheraldsun @australian",Negative
"There is an old Jewish saying: the antisemite does not accuse the Jew of stealing because he thinks he stole something. He does it because he enjoys watching the Jew turn out his pockets to prove his innocence. 

The rape deniers know women were raped, mutilated and tortured. They just don't care. And they are enjoying seeing our wounded and violated people have to turn out our pockets to prove we're not liars.",Negative
More Palestinian children have been massacred over the last 12 days than the total number of Israelis killed over the last 10 years,Positive
"Israel was condemned for the raid on Entebbe. Israel was condemned for the capture of Eichmann. Who was going to free the captives held in violation of law and humanity? Who is going to dismantle Hamas? The ICC? The ICJ? The Red Cross? Only Israeli strength, sacrifice and daring. And let the condemnations fall where they may.",Negative
@smudge_green I got this last year,Irrelevant
"@MahyarTousi Their hair is free of the perverted gaze of people like you , and one day their land will be too .",Irrelevant
@NoticerNews Aussie's need to ask - who do Australian politicians really serve?  The Australian people or Israel?,Positive
"Remember when @DaveChappelle was called a bigot for suggesting ""JEWS run Hollywood""?

Here's the ""Hollywood"" reply to Kanye

Notice anything?",Positive
"A 75 year old farmer was at the doctor's office when the Doctor asked about his Opinion on @AlboMP and his possible role as our PM.
The old farmer said, 'Well, ya know, Albo is a 'Post Turtle'.
Not being familiar with the term, the doctor asked him, what a 'post turtle' was?
The old man said, 'When you're driving down a country road and you come across a fence post with a turtle balanced on top, that's a 'post turtle'.
The Doctor looked puzzled, so the farmer explained:
""You know he didn't get up there by himself, he doesn't belong up there, he doesn't know what to do while he's up there, he's elevated beyond his ability to function and you just wonder what kind of dumb arse put him up there to begin with.""",Irrelevant
"Right after Sayed Hassan Nasrallah's speech yesterday and news of war with Lebanon intensifying: 

62,200 passengers at Ben Gurion Airport today, which is the largest number of departures since October 7..",Negative
"Morning team, what's your new go-to butter? I was a Lurpak lover 😢",Irrelevant
Viva the Irish ✊️,Irrelevant
"Do you condemn genocide?

If that's not your starting point, there will be no conversation, no debate, no discussion.

It's time we demand people explain why they're pro-genocide. Not why we deserve to live, with freedom.",Negative
"@mrbarnicoat The fact is Israel used disproportionate force on its own citizens in order to dislodge a politically driven military offensive by Hamas, which aimed at extracting political concessions from Israel, which had been besieging the #Gaza Strip, for 15 years & occupying for over 75.",Positive
"Anyone seen a public ""tweet"" or social media post from @Greens leader @AdamBandt condemning the firebombing of Jewish leader @AlexRyvchin former home or the firebombing of a childcare centre inSydney ?

I can't seem to find one

@OzraeliAvi @RitaPanahi @DrewPavlou @australian",Negative
Sorry Malala you are a FAKE ACTIVIST. I know you got shot in the head by the Taliban for advocating for the right of girls to go to school but your efforts pale in comparison to those of us who spend 15 hours a day Tweeting about the need for a violent communist revolution,Negative
"Mr Prime Minister, could you please warn the terrorist state of Israel & the local zionist lobby, to refrain from meddling in Australian affairs. Thanks.",Positive
@TheFlatEartherr That yellow house above looks completely shocked 😲,Irrelevant
"#BREAKING: 

🇱🇧 Signs of an invasion of Lebanon are appearing.

Israel has deployed its elite forces near the border with Lebanon. 

The Golani brigade of thousands of elite soldiers has been deployed near the border with Lebanon, along with Merkava tanks and other armoured vehicles.",Negative
"Just for context - Hassan Nasrallah agreed to a ceasefire moments before he was assassinated.

The U.S. and France were notified of the agreement by the Lebanese government and Netanyahu also consented to the ceasefire.
Moments later, Hezbollah's Secretary-General, Hassan Nasrallah, was assassinated.

What does this tell you?",Positive
"If Muslims travel you confiscate their passports for even the most trivial and sometimes baseless accusations. Are all Australians equal or do you selectively apply laws in a racist and bigoted manner? Asking for a friend 😉 How about a ""fair go"" for all? @ASIOGovAu",Negative
Together we can end Israel's illlegal and inhumane siege of the Gaza Strip. Help the #freedomflotilla sail:,Positive
"@Truthtellerftm ""We know what's good for you Goy, trust us, we're here to help you""",Irrelevant
".@TomElliott3AW legendary interview with Amy who tried to cancel Christmas at Myers

Amy is a Muslim who doesn't celebrate Christmas

Amy also seemingly doesn't believe Jesus was born in Bethlehem Judea which means ""land of the Jews""

@3AW693 @theage @theheraldsun @jeff_kennett",Negative
"BREAKING NEWS:
Prime Minister Anthony Albanese referred to the International Criminal Court accused of complicity in Genocide. #FreePalestine #GenocideinPalestine #auspol",Positive
Why do you want kids around a pedo charged with child sex crimes?,Irrelevant
@9NewsQueensland @lilgreer9 Fuck off you grubs - everyone is awake to this BS now,Irrelevant
"Bernie Sanders, Joe Biden, and Donald Trump all have the same position on Gaza right now.",Negative
"Please chip in a few dollars to support our media team, who are playing significant roles in the Freedom Flotilla Coalition's international media team:",Irrelevant
"This is getting fucking ridiculous now.

Apparently Allen's lollies are taking the teeth out of the mixed lolly bags because it offends people from Collingwood, Blacktown, Elizabeth, Ellenbrook and Logan.",Irrelevant
@BrockRiddickIFB @MadEarthling @JillLafavor @OutsourcedAgai1 @Matthew24906171 @SurferCosmic @WhiteSaffer @kaizer4o @JTown604 @CoolBotLover @ornery_owls,Irrelevant
"🇮🇱🕎 They want the goy 💀🪦 

RFK - ""Covid was ethnically targeted to spare Joo's""

""The people most immune are Ashkenazi Joo's and Chinese""

""Covid-19 was targeted to attack caucasian and black people""",Positive
"October 7 and June 8 changed my political outlook forever.

October 7 I watched normie progressive uni students who were my friends celebrate ""decolonisation."" While I watched footage of Hamas terrorists beheading a Thai migrant worker while screeching ""YAHOOD YAHOOD YAHOOD.""

June 8 I saw the same normie progressives react with utter fury to the joyous sight of 4 rescued hostages. I saw Tweets calling on Hamas to place suicide belts on the remaining hostages get 10,000 likes.

I never realised the extent of psychopathic, obsessive Jew hatred before all of this. Of course I studied the history of the Holocaust and I even visited Auschwitz, but never could I imagine that the same forces of hatred and Nazism would be resurrected in the present day. And that ordinary, normal students I knew personally would celebrate these forces and make them a defining part of their political identity 

It's changed my life forever, I will never forget it, and I will spend the rest of my life opposing it",Negative
"@PeterDutton_MP This article is from 2008 🤔 How many times has @PeterDutton_MP gone to Israel? 

Why do all our politicians and journalists go to Israel for Rambam study? 

Who really runs our government?",Positive
Still wondering what side to take?,Irrelevant
"In our thousands, in our millions!

Let's go Naarm/Melbourne 

Free free Palestine. 

From the river to the sea, always was always will be!",Positive
"Melbourne, Australia - a massive convoy of cars proudly flying the Australian & Israeli flags took to the streets tonight

The parade was a show of solidarity & support for Israel & also for members of Australian Jewish community who have suffered from rising antisemitism",Negative
@DravenNoctis,Irrelevant
"This is a Tesla battery.

To manufacture it you need:

12 tonnes of rock for Lithium
5 tons of Cobalt minerals
3 tons of mineral for nickel
12 tons of copper ore

Move 250 tons of soil to obtain:
12 kg of Lithium
30 pounds of nickels
22 kg of manganese
15 pounds of Cobalt
100 Kg of rams
200 kg of aluminum, steel and plastic.

The Caterpillar 994A used for earthmoving consumes 1000 liters of diesel in 12 hours.

Finally you get a ""zero emissions"" car.

Biggest money making scam in history.",Irrelevant
"Dear Australian Government, our voices matter.
Ceasefire now!
@AlboMP @SenatorWong

#CeaseFireNow #FreePalestine #Gaza",Positive
"All these countries in green are threatened by the country in yellow. 
It's not about land.",Irrelevant
@Sophiemcneill @AustralianLabor @AlboMP He is OK with it when the Zionist use it but not the Palestinians. It is not Anti-Semitic. And Zionists are not Semitic but Palestinians are so who are being Anti-semitic . I wish he were more concerned with the Genocide that the Zionist state is enacting on Gaza. He is Complicit,Positive
@RightsLGBTI Fuck off flog - oppression my arse,Irrelevant
"71 continuous weeks! 

Loud and proud for Palestine!

Naarm/Melbourne saying it clearly. 

FROM THE RIVER TO THE SEA PALESTINE WILL BE FREE!

ALWAYS WAS, ALWAYS WILL BE, ABORIGINAL LAND!",Positive
I'm so sick and tired of the fact that this entire cohort of the population are basically allowed to act with impunity.,Irrelevant
"Desperation takes hold 18,500 NEW VOTERS 4 Labor seats
Tony Burke's department will hold 3 days of citizenship ceremonies in Sydney Olympic Park this weekend, conferring citizenship on as many as 6,000 new Australians in electorates Labor is desperate to hold. 

 It can be revealed that Mr Burke's department will host  ANOTHER 25 pre-election ceremonies, giving citizenship to 12,500 people before March 4. #TheWeakestLink",Negative
Standup!!,Irrelevant
@Kahlissee They are everywhere but from nowhere.,Irrelevant
A slightly earlier tweet:,Irrelevant
"@RichardMarlesMP Shameful... Still silent re South African genocide case at the @CIJ_ICJ but time to sign up for another illegal war.
Hands off Yemen!
Support freedom of movement for Palestinians!
Oppose genocide!",Positive
This should be blatantly obvious but: antisemitism is NOT welcome in the Palestine liberation and solidarity movement. There's a clear difference between anti-Zionism & antisemitism. Learn it. Anyone who says or does anything antisemitic in the name of Palestine can get fucked.,Negative
@RealAlexJones,Irrelevant
"That @antoinette_news just produced some of the most critical pieces of journalism then got punished reveals everything about the hostility of this media landscape. It doesn't want ethical reporting & truth telling, it's concerned with preserving the interests of those in power.",Irrelevant
Thanks to the Asian Business Association of Whitehorse for hosting this incredible event.,Irrelevant
"@NSWJBD No! THIS post is what we are protesting against! We are protesting against Zionist using their political muscle in AUSTRALIA to get their way!!!

THIS ISN'T ANTISEMITISM!!!",Positive
The filthy zionist-Israel lies. EVERYONE IS FINALLY WAKING UP TO THEM.,Positive
"South Africa has requested urgent, additional measures be taken to prevent genocide in Gaza.

@SenatorWong @AlboMP - you've seen the carnage in Rafah. Please use all tools at your disposal to bring about an immediate ceasefire and stop Israel's slaughter of Palestinians!",Positive
"Assistance is on the way for communities affected by the devastating bushfires in Victoria.

Emergency relief payments are now available for Victorians who live in an evacuation area.",Irrelevant
Statement on the 20th Anniversary of the Boxing Day Tsunami.,Irrelevant
Australia backs Palestine's bid for UN membership,Negative
"Thank you, Independent @SenatorThorpe , for continuing to stand strong with Palestinians and their supporters as we mark 12 months of Israeli genocide in Gaza.

Senator Thorpe joined Independent @SenatorPayman and Greens Senator @MehreenFaruqi as well as researchers and human rights advocates under the banner of People United Against Genocide, to demand immediate government action, including sanctions, against the state of Israel.

#gaza #freepalestine🇵🇸 #endthegenocide #auspol",Positive
"🧵Helen O'Sullivan is an Australian participant on @GazaFFlotilla and in the audience for @QandA tonight. Her question to Labor Treasurer @JEChalmers needs answering now - Palestinian people can't wait.
1/4",Negative
"@BrianTaxpayers There is no 4D chess, only absolute betrayal of Aussies. If nothing else it will at least wake more people up to the creepy socialists.",Negative
"Over 186,000 Palestinians have been slaughtered by the terrorist state of israel & the pathetic PM of Australia is concerned about the distress of the people supporting the genocide. History will condemn this PM for his shameful complicity. #FreePalestine #auspol",Positive
Looks pretty obvious to any honest person watching,Irrelevant
"The Greens just moved a motion to sanction Israel and to demonise a country fighting terrorist organisations on multiple fronts is a typically low act from a low political party. They have targeted Israel on a Jewish holy day, a solemn day of mourning when Jewish people commemorate our national tragedies including the destruction of the Jewish temples in Jerusalem by foreign powers. Of course, the Greens will be oblivious to the fact that they have sided with Israel's oppressors on such a day because their cultural sensitivities do not extend to Jewish people. But our community will have noticed this latest attack and we draw strength from having overcome zealots and tyrants before and mark this day in the knowledge that we will do so again. We thank the Government and Opposition for joining to reject this stunt and to rightly isolate the extremists.",Negative
@CllrAmmar and the world watch as the father placed his son behind him to shield him from the sniper. the boy was murdered in cold blood .justice was never done . and the world stayed SILENT.,Negative
"""What's wrong with Australia?"" #5🤔🤷‍♂️",Irrelevant
